sentence,emotion
alam bilang minuto ora kami lakad bilang bese ako sigaw taranta iba iba hayop halaman puwede dahil patay kanan kamay hawak rin mitsuo kaliwa bantay sandata sakali masama pangyayari,fear
bigla lamang ako hawak dalawa braso pa lalaki tutok nagsasalita sibat kay mitsuo,fear
mitsuo sigaw takot sitwasyon abot pamaypay ngunit galaw braso lakas,fear
ba mo lionel singhal mitsuo masama tingin lalaki,anger
sabay tingin sina lionel mitsuo lamang tabi mitsuo pamilyar lugar sitwasyon si mitsuo lamang puwede asa,fear
teka ano niyo mitsuo sigaw hatak layo paumanhin lamang si mitsuo manatili puwesto,fear
tawad,sadness
ano pangyayari dadalhin tanong damdam laki takot punta lalamunan,fear
hatak lalaki layo damdam sakit hawak imbes sigaw masdan paligid halos sigaw nang lupa kulay dugo,fear
ano takbo isip pangyayari alam normal bagabag isip ayos masyadong bili wala ako ideya,anger
hawak ulo nang kinig iyon narinig taon gamit bose utak gambala isip subok pansin isip ngunit masyadong lakas kita lamang dugo bundok bangkay berde mata,fear
tingin naman harap lalaki hawak scythe bigla alala isip mitsuo dati halos tigil hinga,fear
curse fuck jikko sigaw lalaki dura lupa,anger
wasiwas executioner scythe agad sarado bintana sigaw nang galit lalaki ngunit bilang segundo lamang wala rin kombulsyon katawan isip pangyayari eksena labas,fear
hinga nilalamig buo katawan pangyayari iba iba isip bilang erityian gamit bose utak date isip halos baliw,fear
kilabot naman sabi alam ba siya seryoso pasiya ako silip liit buta diskubre kanina buhay katawan nakasalampak lupa sigaw nang takot nang tanto wala ulo katawan sarado agad bintana napasandal pader tingin kay naia,fear
tigil basa isip damdam awa laro sama iba bata tamasa kabataan dito buhay lugar lupit dahas,sadness
lalo ako damdam awa lapit,sadness
ngiti titig naman nang pagtataka bata unawa konsepto ngunit rin siya usap,joy
tahimik pagkarinig noon alam mas nagulat patay magulang alam bata danas alam bagay lungkot ganito lugar tira,sadness
bigla naman bukas pinto lalaki dala tayo si naia takbo punta doon sunod titig nang masama,anger
nang alam titig nang talim scythe tutok direksyon,anger
tiga katawan nang kinig buo ngalan bibig,fear
simula taranta katawan labas abo pa materyal bulkan takbo tungo pinto katok nang lakas sigaw tulong ngunit tabon bose lakas ingay loob ulo,fear
niyo gawa senshin patay kayo nood niyo sigaw babae ikot buwitre uwak lawin hubad katawan puno lalim sugat hiwa,anger
hawak tiyan nang dagsa buwitre sugat para dali patay uwak tutok mata kaya kusa pikit mata isip pangyayari nasa lagay,fear
dae mura puno paligid ngunit bigla ako dilat nang tanto mayari tinig iyon huntre salubong dagat,fear
tama sigaw huntre sadya maniwala kayo usap,fear
bigla ako damdam takot simula puno palit pamilyar alaala isip iglap alala alaala,fear
alam bilang ora ako upo lamang pilit tanggalin alaala naman ulit banggit ngalan kaibigan sama ngunit damdam laki takot lalamunan nang alala mukha,fear
talaga ba tuloy sabi agos luha,sadness
ano rason turo pamaypay direksyon untiunting lumilinaw alaala alala kanina,anger
nang tigil basa alaala rin tuloy titig patay magulang kuyom dibdib para sabog puso ano segundo,sadness
patay mo magulang takot abilidad nanay dahan tanong tuloy agos luha mukha,sadness
suklam nangahas pagdudahan tapat magulang angkan lamang kundi suporta presidente,anger
halaga sir hideyoshi kaibigan pagdududa mo wala wala,anger
para lason salita labas bibig pigil hagupit pamaypay tungo handa nang putol lalamunan ngunit puwersa pumigil kamay,anger
noon wala kakarampot lakas hawak dahil upang iyak hila lapit dibdib iyak nang buo puso,sadness
bilang minuto lamang siya tingin bigla lamang ako yakap alam ako damdam nang gawa iyon bigla tulo luha bigat damdam,sadness
halos hinga nang alala taon iyon akalae gawa sila limot tanto limot alaala bilang minuto takot nang sobra ngunit alaala mitsuo tulong upang alala damdam sisi limot buhay,fear
mo ako iwan takot wala ulit alaala,fear
akala baliw takot damdam higpit hawak kamay,fear
tao bilanggo executioner kaniya bahagi baliw akala kita protekta ngunit isip kaya siguro hirap pasensiya,sadness
takot nang alis lugar,fear
akala gawa tago isip,sadness
iyak,sadness
basta alam harap si hideo alala bata,sadness
alala rin sabi panaw tingin bili tibok puso titig sala magulang sala anak usap alaga mo huli salita,sadness
pasensiya sabi totoo aniya basag tahimik,sadness
kusa tulo luha nang kinig salita alala hirap daan magulang ideya konseho,sadness
tanong pilit kalma gulo isip mukha,sadness
sisi kilala magulang mo kaibigan namatay pamilya sagot sisi pagige dalisay mata gulat naman nang bigla siya lumuhod harap yuko,sadness
butod puso hingi tawad gawa yuko hingi tawad,sadness
pasensiya lamang alam totoo nang nginig bose,sadness
buhay nang payapa kayo bintang patay pasensiya,sadness
alam mo ganda balik bigla michiko tingin kay mitsuo,joy
alam atin kay shima tapos insidente taka bilangguan dagdag mayu,sadness
hirap mo hideo nagpatahik,sadness
wala magulang tabi dito rin swerte ako taon buhay ture tunay pamilya,joy
hideo silip mukha alala kalma,fear
alis lugar bala hideo,fear
tapos tigil ninyo loko tiga ngunit basa isip,anger
oo hinga takot kundi ipinagbubuntis alam,fear
pasensiya bulong,sadness
hingi tawad tanong alam sakit sabi,sadness
dapat ama ako,sadness
mo liit mo vince hina,sadness
ayun totoo kamay babad dugo tao patay daandaan tao dumi magkaroon bagay puro,sadness
ba noon mali mo tanong pigil luha tahimik titig nang tagal tayo hawak kamay,sadness
pasensiya yakap,sadness
lamang ayaw tawag kayo asawa anak patay tao protekta kayo huwag ka alala desisyon layo kayo peligro,sadness
narinig naman ako katok pinto tingin doon sundan dalawa katok tapos tatlo katok ulit ngiti naman alala sabi,joy
bagay sayo putol niya bili naman tibok puso sabi titig rin suot itim yukata guwapo dito,joy
lapit hawak kamay sama gawa rin tibok puso simple kilos,joy
tawa naman damdam higpit hawak kamay,joy
bigla isip kami lakad anak nasa bisig saya ako tingin lamang kuntento,joy
oo pinakamalaking regalo bigay mo alala protekta wala,joy
sana punta piyesta next year sama si nathan ngiti lamang,joy
rin ngiti baka bata kapatid tingin gale talaga alaga,joy
pasensiya ganito gawa para hingi tawad,sadness
pangako iyak anak kay nathan gulo salita emosyon,sadness
syempre naman tulong simula noon bata alala,joy
upo gilid kama litrato patong mesa litrato noon bata hideo akira akemi pamilya atama pamilya manatili buhay sandali larawan ngunit alam imposible,sadness
ayaw tawag siya anak patay tao,sadness
pangyayari tanong damdam takot bose,fear
bala himasok tayo,fear
ba wala bose nang silid harap,fear
pasilyo wala bose nang ekspresyon vince,fear
alam sakto detalye ngunit sigurado ako black dimension,fear
kilabot sabi ideya,fear
alam papaanong pangyayari bagay iyon bahala sila puwede daan punta dito,fear
kumusta si hideo tanong naman nang alala pangyayari medical department sagot vince pangyayari,fear
nasa estado coma,fear
hideo tawag asa naririnig ka suko alam hirap puwede suko kay akemi,sadness
kita ganito kahina naman michiko,sadness
takot baka palit alaala pangyayari kay shima,sadness
ayos pahinga bakas sala mata pahinga rin,joy
bagay sayo taka titig ama,joy
tanga bulong pilit pigil iyak pinakamagandang narinig lipa linggo,joy
sandali tigil ora lamang titig pamilya ko dalawa lalaki bago mundo,joy
alerto tapos ganda huli kita,fear
takot,fear
halos kilabot naman nang kinig mas lakas sigaw silangan banda gubat kita damdam iba simoy hangin,fear
oh diyos dito talaga akemi,joy
ayos lamang isa taon dalawa buwan alala pangyayari kanina iyan tuloy sabi,joy
rainie nang ngiti kumusta naman anak mo,joy
naomi usap siya siya usap,sadness
kaunti lamang kita,joy
kilabot nang buo paligid alala puno daan,fear
naman desisyon ano dapat tanong tigil ora sugod gamit abaniko tumba,anger
sabi ka patay sabi mo pagsalitaan mo masama patay kamay,anger
protekta gamit buhay ka alala dagdag agad tulo luha,sadness
bobo mo iyan,anger
naomi mo kailangan gawa akemi ka pamilya protekta usap,sadness
wala ako alam sigaw mo protekta mo hindi ba usad punta campus ayaw mo,anger
hideo tulong mo pakiusap,sadness
mo sila hawak sigaw,anger
alam mo kay akemi ngunit pabor ako hile iyak si nathan hawak damit ama,sadness
pasensiya nathan alaga mo ina,sadness
vince mo iyan,sadness
dito ka kalma isip nang buti ligta mo kailangan alala ayun katok,joy
pasensiya nathalie kita kaya ligta,sadness
upo nang pugot ulo elite laban saksak puso elite iyon,fear
tawad,sadness
mo iyan usap mo iyan,sadness
usap limot mo lamang hina gamit mo damdam mo nathalie,sadness
ba sabi mo,sadness
ayaw nang sakit,sadness
tanga ba mas gusto buhay sakit limot,sadness
sabi salita sabi siya limot,sadness
kaya buhay sama mas sakit kita,sadness
wala ako alam ayaw mo ako sama hayaan mo buhay alaala,sadness
mo kay nathan tuparin hile ngiti tuloy agos luha,sadness
pasensiya sabi kanina totoo ganiyan takot ako limot mo,fear
limot mo sagot ngiti ulit,sadness
siguro sanay limot tao minsan isip ganoon alam mo ba bigay taon buhay pili rin alala bura alaala basta dito isip sapat,sadness
lagi kita isip nathalie,sadness
huli salita narinig lalaki limot,sadness
ako wasak isip loob lamang gabi wala kaibigan tahanan pinakamahalagang tao buhay,sadness
wala ako silbi kapangyarihan gamit lamang kaya manatili lamang tabi,sadness
silbi kapangyarihan man lamang pigil patay,sadness
ligta ina hayaan mo naman alaga tila tigil ulan simula bago buhay rainie,sadness
sige salamat,joy
rainie ba ngalan mo tanong tango si rainie,joy
diyos po naomi,joy
kilala si papa wala naman siya litrato ayaw naman pilit si mama sabi,sadness
ligaya araw rainie lagi sabi tuwe ika disyembre,joy
thank mama sabay ngiti ayaw nang birthday ganito pangyayari kay mama lagi alam pangyayari mas gusto nang celebrate iyon dahil lungkot,sadness
bilang taon lipa ganoon rin damdam subok kilala iba tao bigo man gaano man rami gale kita sugat,sadness
palit halaga taon wala,sadness
tuwe bispera bago taon halip puyat lagi ako iyak hangang tulog,sadness
opo mukha naman sila bait,joy
alam bilang ora ako iyak nang alam sapit nina mayu akira,sadness
damdam sisi awa sana gawa ligta ngunit alam sitwasyon,sadness
kita tama paalam muna nathalie,sadness
pasensiya nathan hikbi yakap nang higpit damdam kamay pasensiya,sadness
alala kita sapat puwede ba kita tawag nanay,joy
hirap lamang kontrol alaala ingat bala anim damdam bigay alala,fear
pasensiya kasi miss tatay mo amin pigil badya luha mata,sadness
lipa higit dekada para hapon lamang pangyayari linaw rin alaala dulot sakit rin,sadness
minuto ora araw lagi kita isip gaano man sakit lagi kita alala sabi mo alis alaala mo tahanan kanlungan,sadness
kita limot vince,sadness
halata naman kinig,anger
tapos ninyo importante paksa niyo lamang gawa bagay tapos asa ganda resulta inyo,joy
tatlo minuto pito segundo ora lipa iyon pigil ngiti mukha wakas atin,joy
tara reina tawag kana tingin tayo naman kapit braso,sadness
kana tama narinig ba crap sabik,joy
hinahon j husga naman meganerd titig naman nang masama,anger
tigil bigay sinungale kana hayate baka tiwala sabi mo,anger
excuse sinungale,anger
sigurado ba singit hiroshi ayos salamin mo ba bilang sinungale sabi mo simula nang simula ka tirahan,anger
tigil kayo gago titig,anger
ba romantiko,anger
nga pala mayroon tayo araw ora,anger
sige tigil sama,anger
hoy tingin mo atin tingin mo tapos tama ora tanong kanyahabang lakad balik dorm,fear
transferee sir tora tawag atensyon ligaya date tantei high,joy
nang nasa tapat dorm agad naman ako ngiti wakas makakaalis lugar,joy
lagi bagot aral saya naman nina hayate hiroshi mahal talaga aral sunod lamang daloy,sadness
masdan liit galaw nang buksan mata tayo tabi kama,joy
alas kana sakto ora gise taray lamang,joy
oh tahimik nga,anger
goddamnit j alas lamang umaga baliw ba,anger
ganda umaga hiroshi nasa kwarto hologram,joy
himala niyo gise naman,joy
oop nang alis hiroshi taas naman kilay kana,fear
ba mo manyak lingon si hiroshi,anger
iyon meganerd iyon bulong suot damit,anger
yup bilang alala kay sir eiichi sagot naman,joy
iyon isip bigla tanong,anger
hiya ba ba cute bata,joy
ba pulong pa punta mas baba mas lamig tono,anger
hoy sabi mo ba alis lakas tingin,anger
medyo sabay tanggal kamay balikat,anger
siraulo halos laki yo,anger
j talaga talo bata talo komento kana,anger
lamang alam tungo dagdag hayate,anger
siguro laki ganoon dagdag hiroshi,anger
marami salamat sarkastiko tawa,joy
sir tanong sabay taas kamay tagamimi bigo kami tala arawaraw,fear
nga ako ugali isaisa transferee una linggo bilang sila punta opisina administrasyon kumpirma hinuha tatlo sunod taon tumpak lungkot gawa ngayon taon,sadness
hanap agad rinig harap,joy
well mukha ngayon una potensyal target kami nood balita palabas,joy
salamat,joy
bwiset patay tao bulong inspector tingin putol katawan lupa,anger
hayaan mo kanina tulong tiwala,joy
grabe ito patay tao komento hiroshi siyasat bangkay gamit device imbento tala estado bangkay agad ipapadala server,fear
sampu ora lipa patay dagdag naman nang hawak paa ngunit ora patay katay,sadness
bigla damdam nginig gulugod para titig,fear
damdam mo iyon tanong hayate,fear
oo uhaw dugo hambe shinigami sagot mas lalo damdam shinigami track,fear
sandali bala,fear
damdam hina ngunit takot presensya damdam atin kanina,fear
shinigami tanong hayate bigla dumipense katawan,fear
oo damdam dimensyon,fear
mukha bisita tahimik naman sina hiroshi kana bilang linya,fear
tanong titig lamang galaw takot,fear
patay mo utos labas dalawa shinigami balik lugar,anger
shinigami rinig bose hiroshi gale device sagot mas buti nang focus hanap ibidensya puma punta,fear
ano bulong bagsak lupa,sadness
ayos lamang ba tanong sakto naman date si hiroshi mukha takbo punta dito,sadness
tingin si kana bigay bili ngiti bagal mo meganerd,joy
ano pangyayari tanong hiroshi tingin kay hayate,sadness
nga pala atin alis iba hiroshi type kt hanap importante ibidensya,fear
patay tao iyon tanong naman,fear
mo wala bose ngunit daan bilang segundo ngiti bili mo talaga bigo atama,joy
oo agad sagot hiroshi kasalukuyan impormasyon ukol hanap kay rick torre sentro lugar taas posibilidad doon,fear
ano mo duwag,anger
titig mo mo sabay turo wala nang malay lalaki wala man lamang tayo kuha impormasyon,anger
reina tigil da,fear
suntok dibdib sabi ba inosente tanong ubo,anger
tigil kayo sigaw talon tungo baril,anger
puwede ba usap nang ayos tanong dahan siya tingin,anger
dala ba kayo dito tanong tingin lakad punta loko mo hindi ang patay,fear
ba fuck,anger
oo basta mo lamang saktan pamilya,fear
basa noon tingin wala nang malay rick torre intindi ganoon kilos kanina tatlo taon siya buhay takot lalaki siya bintang patay tao,sadness
ba alam patay dito tanong kana kami depensa,fear
taas posibilidad sagot hayate,fear
hanap siguro atin patay tao motibo bulong,joy
ba mo wala ba mo kana ganoon sabi,fear
naman sagot hey mo kailangan alala ito paaralan chakushoku,joy
iyan tanong hayate,fear
una lagusan tanong iba ako damdam lugar iyon kusa abot kamay dagger tanto dala lamang pala taser posas gulat rin guwardiya pareho bagay kamay holster para damdam uri panganib,fear
man tanong estudyante lingon direksyon pakali ekspresyon kita,fear
damdam ba kanina tanong ulit,fear
oo hina sagot lagi damdam sundan ito halo presensiya dami shinigami,fear
agad tanong ano mayroon,fear
diretso punto sagot naman patay alis paaralan,anger
ugnay ba balita kanina umaga seryoso tanong tango naman si hayate,fear
alala damdam iba noon tingin anak sagot medyo asul balat,sadness
kana mo siya hayaan taka sigaw takbo punta kina luke hayate,anger
ano pangyayari galaw tanong alala bahala lagay,fear
neuromuscular block nang hirap paralyze agent,fear
tulong mo si kana hina hayate panganib tama hita upang laban,fear
"baliw lalaki "" kana baon kuko balat",anger
ayon atin tumba,fear
hayate ingat alam medisina lalaki gamit pangyayari kay hayate,fear
wow para nasa medieval lugar armas niyo komento ba kayo ligta niyo halimaw iyon,joy
halimaw halimaw naman patay marami tao lamang pasok,anger
